facility_id,measure_id,score,start_date,end_date
110023,MSPB-1,0.88,2023-01-01,2023-12-31
110050,MSPB-1,0.84,2023-01-01,2023-12-31
110168,MSPB-1,0.96,2023-01-01,2023-12-31
110071,MSPB-1,0.71,2023-01-01,2023-12-31
111332,MSPB-1,,2023-01-01,2023-12-31
110038,MSPB-1,1.00,2023-01-01,2023-12-31
111331,MSPB-1,,2023-01-01,2023-12-31
113300,MSPB-1,,2023-01-01,2023-12-31
110054,MSPB-1,1.05,2023-01-01,2023-12-31
111330,MSPB-1,,2023-01-01,2023-12-31
111310,MSPB-1,,2023-01-01,2023-12-31
110107,MSPB-1,1.01,2023-01-01,2023-12-31
111327,MSPB-1,,2023-01-01,2023-12-31
111302,MSPB-1,,2023-01-01,2023-12-31
110113,MSPB-1,1.33,2023-01-01,2023-12-31
111334,MSPB-1,,2023-01-01,2023-12-31
110024,MSPB-1,1.08,2023-01-01,2023-12-31
111324,MSPB-1,,2023-01-01,2023-12-31
110236,MSPB-1,1.05,2023-01-01,2023-12-31
113301,MSPB-1,,2023-01-01,2023-12-31
111308,MSPB-1,,2023-01-01,2023-12-31
110089,MSPB-1,1.03,2023-01-01,2023-12-31
110164,MSPB-1,1.07,2023-01-01,2023-12-31
110105,MSPB-1,0.94,2023-01-01,2023-12-31
110104,MSPB-1,0.83,2023-01-01,2023-12-31
110177,MSPB-1,0.98,2023-01-01,2023-12-31
110092,MSPB-1,1.19,2023-01-01,2023-12-31
110194,MSPB-1,0.90,2023-01-01,2023-12-31
110073,MSPB-1,0.90,2023-01-01,2023-12-31
110075,MSPB-1,1.03,2023-01-01,2023-12-31
111306,MSPB-1,,2023-01-01,2023-12-31
111337,MSPB-1,,2023-01-01,2023-12-31
110109,MSPB-1,0.89,2023-01-01,2023-12-31
110076,MSPB-1,1.00,2023-01-01,2023-12-31
110226,MSPB-1,0.93,2023-01-01,2023-12-31
110230,MSPB-1,0.92,2023-01-01,2023-12-31
110010,MSPB-1,0.95,2023-01-01,2023-12-31
110078,MSPB-1,0.96,2023-01-01,2023-12-31
110142,MSPB-1,0.98,2023-01-01,2023-12-31
110125,MSPB-1,0.97,2023-01-01,2023-12-31
110190,MSPB-1,,2023-01-01,2023-12-31
110121,MSPB-1,0.98,2023-01-01,2023-12-31
110079,MSPB-1,0.94,2023-01-01,2023-12-31
110001,MSPB-1,0.95,2023-01-01,2023-12-31
111320,MSPB-1,,2023-01-01,2023-12-31
110153,MSPB-1,,2023-01-01,2023-12-31
110069,MSPB-1,0.97,2023-01-01,2023-12-31
111303,MSPB-1,,2023-01-01,2023-12-31
111333,MSPB-1,,2023-01-01,2023-12-31
110100,MSPB-1,,2023-01-01,2023-12-31
111311,MSPB-1,,2023-01-01,2023-12-31
111335,MSPB-1,,2023-01-01,2023-12-31
111314,MSPB-1,,2023-01-01,2023-12-31
110128,MSPB-1,0.95,2023-01-01,2023-12-31
110036,MSPB-1,1.03,2023-01-01,2023-12-31
110132,MSPB-1,0.98,2023-01-01,2023-12-31
111305,MSPB-1,,2023-01-01,2023-12-31
111318,MSPB-1,,2023-01-01,2023-12-31
111304,MSPB-1,,2023-01-01,2023-12-31
111336,MSPB-1,,2023-01-01,2023-12-31
110003,MSPB-1,1.02,2023-01-01,2023-12-31
110150,MSPB-1,0.90,2023-01-01,2023-12-31
110045,MSPB-1,0.91,2023-01-01,2023-12-31
110041,MSPB-1,0.96,2023-01-01,2023-12-31
110237,MSPB-1,0.87,2023-01-01,2023-12-31
110029,MSPB-1,0.96,2023-01-01,2023-12-31
110161,MSPB-1,0.95,2023-01-01,2023-12-31
110008,MSPB-1,0.95,2023-01-01,2023-12-31
110252,MSPB-1,0.97,2023-01-01,2023-12-31
110005,MSPB-1,0.98,2023-01-01,2023-12-31
110087,MSPB-1,1.02,2023-01-01,2023-12-31
111312,MSPB-1,,2023-01-01,2023-12-31
111323,MSPB-1,,2023-01-01,2023-12-31
110007,MSPB-1,0.95,2023-01-01,2023-12-31
110044,MSPB-1,0.99,2023-01-01,2023-12-31
111328,MSPB-1,,2023-01-01,2023-12-31
110074,MSPB-1,0.97,2023-01-01,2023-12-31
110028,MSPB-1,1.04,2023-01-01,2023-12-31
110030,MSPB-1,0.96,2023-01-01,2023-12-31
110064,MSPB-1,1.14,2023-01-01,2023-12-31
110200,MSPB-1,1.01,2023-01-01,2023-12-31
110192,MSPB-1,0.98,2023-01-01,2023-12-31
110215,MSPB-1,0.96,2023-01-01,2023-12-31
110191,MSPB-1,0.99,2023-01-01,2023-12-31
110083,MSPB-1,0.97,2023-01-01,2023-12-31
110201,MSPB-1,0.93,2023-01-01,2023-12-31
110225,MSPB-1,0.89,2023-01-01,2023-12-31
110229,MSPB-1,0.94,2023-01-01,2023-12-31
110018,MSPB-1,0.90,2023-01-01,2023-12-31
110091,MSPB-1,0.90,2023-01-01,2023-12-31
110046,MSPB-1,0.96,2023-01-01,2023-12-31
111313,MSPB-1,,2023-01-01,2023-12-31
110082,MSPB-1,0.93,2023-01-01,2023-12-31
110234,MSPB-1,,2023-01-01,2023-12-31
110122,MSPB-1,0.97,2023-01-01,2023-12-31
111326,MSPB-1,,2023-01-01,2023-12-31
110146,MSPB-1,0.98,2023-01-01,2023-12-31
110025,MSPB-1,0.99,2023-01-01,2023-12-31
110233,MSPB-1,1.09,2023-01-01,2023-12-31
110165,MSPB-1,1.01,2023-01-01,2023-12-31
110101,MSPB-1,0.81,2023-01-01,2023-12-31
110129,MSPB-1,1.01,2023-01-01,2023-12-31
110043,MSPB-1,1.05,2023-01-01,2023-12-31
111329,MSPB-1,,2023-01-01,2023-12-31
110006,MSPB-1,0.97,2023-01-01,2023-12-31
110032,MSPB-1,0.92,2023-01-01,2023-12-31
110011,MSPB-1,1.03,2023-01-01,2023-12-31
110015,MSPB-1,1.00,2023-01-01,2023-12-31
110095,MSPB-1,0.91,2023-01-01,2023-12-31
110209,MSPB-1,1.25,2023-01-01,2023-12-31
110027,MSPB-1,0.92,2023-01-01,2023-12-31
110051,MSPB-1,1.03,2023-01-01,2023-12-31
110111,MSPB-1,0.87,2023-01-01,2023-12-31
110002,MSPB-1,1.09,2023-01-01,2023-12-31
111316,MSPB-1,,2023-01-01,2023-12-31
110086,MSPB-1,1.00,2023-01-01,2023-12-31
110124,MSPB-1,1.08,2023-01-01,2023-12-31
110143,MSPB-1,0.96,2023-01-01,2023-12-31
110184,MSPB-1,0.91,2023-01-01,2023-12-31
110035,MSPB-1,0.95,2023-01-01,2023-12-31
110034,MSPB-1,1.05,2023-01-01,2023-12-31
110198,MSPB-1,0.98,2023-01-01,2023-12-31
110042,MSPB-1,0.90,2023-01-01,2023-12-31
110031,MSPB-1,1.04,2023-01-01,2023-12-31
111319,MSPB-1,,2023-01-01,2023-12-31
110016,MSPB-1,0.98,2023-01-01,2023-12-31
111325,MSPB-1,,2023-01-01,2023-12-31
